# %ECSV 1.0
# ---
# datatype:
# - {name: e_ref, unit: TeV, datatype: float64, format: .3f}
# - {name: e2dnde, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: e2dnde_errp, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: e2dnde_errn, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: is_ul, datatype: bool}
# meta: !!omap
# - {SED_TYPE: e2dnde}
# schema: astropy-2.0
e_ref e2dnde e2dnde_errp e2dnde_errn is_ul
0.5189999938011169 4.875434162643759e-11 1.6161659549354762e-12 1.6161659549354762e-12 False
0.7289999723434448 3.863575713011924e-11 1.0628819151064202e-12 1.0097377732559436e-12 False
1.059999942779541 3.5056317244612984e-11 1.0112399111468406e-12 1.0112399111468406e-12 False
1.5499999523162842 2.931049745433199e-11 9.609999240082492e-13 9.609999240082492e-13 False
2.259999990463257 2.3494960150844487e-11 9.193680107179765e-13 9.193680107179765e-13 False
3.2999999523162837 1.666169926300159e-11 8.711999595348933e-13 8.711999595348933e-13 False
4.889999866485596 1.5184182039800422e-11 9.32571824608124e-13 9.08659718231778e-13 False
7.179999828338624 1.1702394506673567e-11 9.279431917450105e-13 8.763907776480946e-13 False
10.399999618530272 7.019583834598223e-12 8.328318949721751e-13 7.787519731805353e-13 False
14.80000019073486 3.8332002170685e-12 7.228320003804634e-13 6.571199961291917e-13 False
20.899999618530277 3.1712404226662936e-12 7.425769709615495e-13 6.552149553341088e-13 False
30.5 8.911794821550214e-13 5.209400038595876e-13 3.9535624897180107e-13 False
