# %ECSV 1.0
# ---
# datatype:
# - {name: e_ref, unit: TeV, datatype: float64, format: .3f}
# - {name: e2dnde, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: e2dnde_errp, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: e2dnde_errn, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: is_ul, datatype: bool}
# meta: !!omap
# - {SED_TYPE: e2dnde}
# schema: astropy-2.0
e_ref e2dnde e2dnde_errp e2dnde_errn is_ul
0.27761900424957275 2.6479734514473474e-11 1.736030761165361e-12 1.7353678807888707e-12 False
0.4302450120449066 2.4009052019210835e-11 9.936153475961044e-13 9.9308229503768e-13 False
0.6917189955711365 2.3759736432297907e-11 8.061445508076921e-13 8.054028741777694e-13 False
1.114240050315857 1.9967293021000508e-11 7.488380592888212e-13 7.477777595655411e-13 False
1.79312002658844 1.6199348761020104e-11 7.621691458852759e-13 7.60780144028183e-13 False
2.888400077819824 1.5246567170533285e-11 8.220431818929284e-13 8.199641666765423e-13 False
4.652699947357178 1.0900050755492023e-11 9.098255369876038e-13 9.073014428927898e-13 False
7.501949787139891 8.25903664302632e-12 9.91398403859822e-13 9.876333019451728e-13 False
12.084300041198729 7.360350812019913e-12 1.0512985204965873e-12 1.0445430556064622e-12 False
19.46570014953613 5.067702742796993e-12 1.1693762752942223e-12 1.1591304378581962e-12 False
31.386100769042965 2.289530110936902e-12 1.0915456814760415e-12 1.0766117735109943e-12 False
