# %ECSV 1.0
# ---
# datatype:
# - {name: e_ref, unit: TeV, datatype: float64, format: .3f}
# - {name: e_min, unit: TeV, datatype: float64, format: .3f}
# - {name: e_max, unit: TeV, datatype: float64, format: .3f}
# - {name: e2dnde, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: e2dnde_errp, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: e2dnde_errn, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: e2dnde_ul, unit: TeV / (cm2 s), datatype: float64, format: .3e}
# - {name: is_ul, datatype: bool}
# meta: !!omap
# - {SED_TYPE: e2dnde}
# schema: astropy-2.0
e_ref e_min e_max e2dnde e2dnde_errp e2dnde_errn e2dnde_ul is_ul
0.510911578410321 0.46417000889778137 0.5623599886894226 1.0441225596427944e-12 2.829572066445496e-13 2.706887802664302e-13 nan False
0.618993332163626 0.5623599886894226 0.6813300251960754 7.475309709511419e-13 2.4567753403012906e-13 2.3640524188566403e-13 nan False
0.749931362785554 0.6813300251960754 0.825439989566803 1.1000486456709628e-12 2.2518378364621629e-13 2.1719773841321275e-13 nan False
0.9085372802294923 0.825439989566803 1.0 8.551557906923758e-13 1.976928682988356e-13 1.903464533875852e-13 nan False
1.1006816290996184 1.0 1.2115000486373901 8.032245111733132e-13 1.8911515759846607e-13 1.8184615497136742e-13 nan False
1.3332794496726135 1.2115000486373901 1.4673000574111938 1.0456043853694477e-12 1.9145119527910522e-13 1.8380736864160283e-13 nan False
1.615514346405338 1.4673000574111938 1.7786999940872192 5.018812100592879e-13 1.7128686647687757e-13 1.6337889373338346e-13 nan False
1.957512031074456 1.7786999940872192 2.1542999744415283 1.1066392088466354e-12 1.979918593040234e-13 1.891785989566187e-13 nan False
2.3711827214207144 2.1542999744415283 2.6098999977111816 9.473925511411218e-13 1.909403573134977e-13 1.8098851508222547e-13 nan False
2.872989703826791 2.6098999977111816 3.1626000404357915 1.3148732890225611e-12 2.1510106253158493e-13 2.0354536663870805e-13 nan False
3.480974796567117 3.1626000404357915 3.831399917602539 1.6673247396782345e-12 2.480387830014707e-13 2.349522323787079e-13 nan False
4.217132698481178 3.831399917602539 4.64169979095459 9.42385162484094e-13 2.2319181527747597e-13 2.0807523646670395e-13 nan False
5.109115674237853 4.64169979095459 5.623600006103515 1.1161669350857346e-12 2.3602388579208606e-13 2.1785617094408267e-13 nan False
6.189933333092225 5.623600006103515 6.813300132751465 9.57115538961691e-13 2.3755470137003826e-13 2.1613646984006896e-13 nan False
7.499313724706061 6.813300132751465 8.254400253295898 9.459519054215497e-13 2.5735290782320813e-13 2.324949574466999e-13 nan False
9.085372999110108 8.254400253295898 10.000000000000002 1.4841412116532533e-12 3.0970511421871567e-13 2.8040197761287844e-13 nan False
11.006815966081273 10.000000000000002 12.114999771118164 1.1482596391927262e-12 2.991193482944388e-13 2.656819527556533e-13 nan False
13.332793994828759 12.114999771118164 14.673000335693361 1.0207174051853047e-12 3.082417288626849e-13 2.7002259102402894e-13 nan False
16.155143657620105 14.673000335693361 17.787000656127926 1.0202046655933842e-12 3.236259499665566e-13 2.7951886175254867e-13 nan False
19.574666405265006 17.787000656127926 21.54199981689453 5.268554086887845e-13 2.6549680684109426e-13 2.1476542712025842e-13 nan False
26.09900481414896 21.54199981689453 31.620000839233402 6.321828124534819e-13 2.1204449286194358e-13 1.8050688487196684e-13 nan False
38.311883026800764 31.620000839233402 46.41999816894531 3.7355519079729553e-13 2.144456378027206e-13 1.715858593093199e-13 nan False
56.23694824360504 46.41999816894531 68.12999725341798 nan nan nan 4.3643801186248777e-13 True
